지점,년도,날짜,계절관측,계절현상
인천,2020,-5일,아까시나무,발아(평비)
인천,2020,2020-05-11,아까시나무,개화
인천,2020,-5일,아까시나무,개화(평비)
인천,2020,2020-05-18,아까시나무,만발
인천,2020,2020-03-31,복숭아,발아
인천,2020,-3일,복숭아,발아(평비)
인천,2020,2020-04-05,복숭아,개화
인천,2020,-14일,복숭아,개화(평비)
인천,2020,2020-04-08,복숭아,만발
인천,2020,2020-04-04,배나무,발아
인천,2020,5일,배나무,발아(평비)
인천,2020,2020-04-07,배나무,개화
인천,2020,-12일,배나무,개화(평비)
인천,2020,2020-04-10,배나무,만발
인천,2020,2020-10-27,은행나무,단풍시작
인천,2020,1일,은행나무,단풍시작(평비)
인천,2020,2020-11-09,은행나무,단풍절정
인천,2020,4일,은행나무,단풍절정(평비)
인천,2020,2020-10-22,단풍나무,단풍시작
인천,2020,-8일,단풍나무,단풍시작(평비)
인천,2020,2020-11-06,단풍나무,단풍절정
인천,2020,-2일,단풍나무,단풍절정(평비)
인천,2020,2020-11-10,서리,시작
인천,2020,3일,서리,시작(평비)
인천,2020,2021-03-30,서리,끝
인천,2020,5일,서리,끝(평비)
인천,2020,2020-11-04,얼음,시작
인천,2020,-3일,얼음,시작(평비)
인천,2020,2021-03-08,얼음,끝
인천,2020,-22일,얼음,끝(평비)
인천,2020,2020-11-29,눈,시작
인천,2020,5일,눈,시작(평비)
인천,2020,2021-03-02,눈,끝
인천,2020,-16일,눈,끝(평비)
인천,2020,2020-03-30,군락단지,절정
인천,2021,2021-05-01,제비,초견
인천,2021,5일,제비,초견(평비)
인천,2021,2021-04-07,나비,초견
인천,2021,-7일,나비,초견(평비)
인천,2021,2021-07-02,잠자리,초견
인천,2021,-4일,잠자리,초견(평비)
인천,2021,2021-05-15,뻐꾸기,초성
인천,2021,-1일,뻐꾸기,초성(평비)
인천,2021,2021-07-10,매미,초성
인천,2021,-9일,매미,초성(평비)
인천,2021,2021-09-30,코스모스,개화
인천,2021,28일,코스모스,개화(평비)
인천,2021,2021-10-10,코스모스,만발
인천,2021,2021-02-25,매화,발아
인천,2021,-26일,매화,발아(평비)
인천,2021,2021-03-10,매화,개화
인천,2021,-32일,매화,개화(평비)
인천,2021,2021-03-19,매화,만발
인천,2021,2021-03-12,개나리,발아
인천,2021,-8일,개나리,발아(평비)
인천,2021,2021-03-23,개나리,개화
인천,2021,-10일,개나리,개화(평비)
인천,2021,2021-03-29,개나리,만발
인천,2021,2021-03-05,진달래,발아
인천,2021,-18일,진달래,발아(평비)
인천,2021,2021-03-18,진달래,개화
인천,2021,-17일,진달래,개화(평비)
인천,2021,2021-03-25,진달래,만발
인천,2021,2021-03-26,벚나무,발아
인천,2021,-3일,벚나무,발아(평비)
인천,2021,2021-03-31,벚나무,개화
인천,2021,-13일,벚나무,개화(평비)
인천,2021,2021-04-02,벚나무,만발
인천,2021,2021-04-18,아까시나무,발아
인천,2021,-4일,아까시나무,발아(평비)
인천,2021,2021-05-10,아까시나무,개화
인천,2021,-6일,아까시나무,개화(평비)
인천,2021,2021-05-17,아까시나무,만발
인천,2021,2021-03-31,복숭아,발아
인천,2021,-3일,복숭아,발아(평비)
인천,2021,2021-04-04,복숭아,개화
인천,2021,-15일,복숭아,개화(평비)
인천,2021,2021-04-08,복숭아,만발
인천,2021,2021-04-02,배나무,발아
인천,2021,3일,배나무,발아(평비)
인천,2021,2021-04-06,배나무,개화
인천,2021,-13일,배나무,개화(평비)
인천,2021,2021-04-08,배나무,만발
인천,2021,2021-10-30,은행나무,단풍시작
인천,2021,4일,은행나무,단풍시작(평비)
인천,2021,2021-11-08,은행나무,단풍절정
인천,2021,3일,은행나무,단풍절정(평비)
인천,2021,2021-10-26,단풍나무,단풍시작
인천,2021,-4일,단풍나무,단풍시작(평비)
인천,2021,2021-11-04,단풍나무,단풍절정
인천,2021,-4일,단풍나무,단풍절정(평비)
인천,2021,2021-11-17,서리,시작
인천,2021,10일,서리,시작(평비)
인천,2021,2021-11-10,얼음,시작
인천,2021,3일,얼음,시작(평비)
인천,2021,2021-11-22,눈,시작
인천,2021,-2일,눈,시작(평비)
인천,2021,2021-03-31,군락단지,절정
